"image","xmin","ymin","xmax","ymax","label"
"47_superhikov_veliki_poduhvat_018_high.jpg",93.1103678929766,61.02649006622516,327.49163879598666,291.080298013245,"Broj 1"
"47_superhikov_veliki_poduhvat_018_high.jpg",355.74581939799333,13.570364238410596,517.5652173913044,222.34519867549668,"Sef"
"47_superhikov_veliki_poduhvat_018_low.jpg",222.18060200668896,21.278973509933774,521.4180602006688,312.2789735099338,"Sef"
"47_superhikov_veliki_poduhvat_019_high.jpg",80.2675585284281,143.3319536423841,258.7826086956522,278.2326158940397,"Broj 1"
"47_superhikov_veliki_poduhvat_019_high.jpg",293.4581939799331,17.424668874172184,468.12040133779266,214.63658940397352,"Sef"
"47_superhikov_veliki_poduhvat_019_low.jpg",355.74581939799333,50.186258278145694,560.5886287625418,317.4180463576159,"Broj 1"
"47_superhikov_veliki_poduhvat_019_low.jpg",99.53177257525084,61.10678807947019,269.056856187291,240.3319536423841,"Sef"
"47_superhikov_veliki_poduhvat_020_high.jpg",12.200668896321071,173.52400662251654,183.01003344481606,349.5372516556291,"Bob Rok"
"47_superhikov_veliki_poduhvat_020_high.jpg",290.247491638796,83.59023178807946,540.6822742474917,296.21937086092714,"Broj 1"
"47_superhikov_veliki_poduhvat_020_high.jpg",19.264214046822744,21.278973509933774,149.61872909698997,164.53062913907283,"Sir Oliver"
"47_superhikov_veliki_poduhvat_020_low.jpg",16.695652173913043,137.5504966887417,184.2943143812709,323.19950331125824,"Bob Rok"
"47_superhikov_veliki_poduhvat_020_low.jpg",315.2909698996656,82.9478476821192,562.5150501672241,297.5041390728477,"Broj 1"
"47_superhikov_veliki_poduhvat_020_low.jpg",34.675585284280935,13.570364238410596,183.6521739130435,165.1730132450331,"Sir Oliver"
"47_superhikov_veliki_poduhvat_021_high.jpg",291.53177257525084,81.66307947019867,552.2408026755853,352.74917218543044,"Broj 1"
"47_superhikov_veliki_poduhvat_021_high.jpg",115.58528428093646,69.45778145695364,327.49163879598666,307.13990066225165,"Sir Oliver"
"47_superhikov_veliki_poduhvat_021_low.jpg",121.36454849498328,75.88162251655629,224.10702341137124,217.20612582781456,"Alan Ford"
"47_superhikov_veliki_poduhvat_021_low.jpg",263.27759197324417,153.61009933774832,359.5986622073579,283.3716887417218,"Jeremija"
"47_superhikov_veliki_poduhvat_021_low.jpg",17.337792642140467,182.51738410596025,132.92307692307693,300.716059602649,"Bob Rok"
"47_superhikov_veliki_poduhvat_021_low.jpg",12.200668896321071,75.88162251655629,111.09030100334449,197.29221854304635,"Sef"
"47_superhikov_veliki_poduhvat_022_high.jpg",397.48494983277595,22.563741721854303,550.9565217391305,152.96771523178808,"Broj 1"
"47_superhikov_veliki_poduhvat_022_high.jpg",21.83277591973244,179.30546357615893,129.7123745819398,284.0140728476821,"Bob Rok"
"47_superhikov_veliki_poduhvat_022_high.jpg",193.28428093645485,97.08029801324503,346.75585284280936,233.90811258278143,"Sef"
"47_superhikov_veliki_poduhvat_022_low.jpg",44.30769230769231,23.84850993377483,211.26421404682276,180.59023178807945,"Broj 1"
"47_superhikov_veliki_poduhvat_022_low.jpg",127.1438127090301,222.34519867549668,280.61538461538464,355.31870860927154,"Jeremija"
